region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
East Asia & Pacific,EAS,Indonesia,IDN,2023,national,SUSENAS,national,2023,consumption,6,2015 - 2025,3,0.067161661059,0.011203793058,0.003013198778,0.013215050512,8.160530606326,6.167978395031,0.212250374979,0.360570304909,0.289254429833,0.033275260382,0.045333751144,0.053890944165,0.0619154051,0.070643913452,0.081172409845,0.094356826293,0.11304872759,0.147742978754,0.298619783276,1.08496665184,5353.5595703125,281190067,4192.65167890692,2344.94992417129,FALSE,micro,survey,4.384,0.247493530319,4.968414913894,
East Asia & Pacific,EAS,Indonesia,IDN,2024,national,SUSENAS,national,2024,consumption,6,2015 - 2025,3,0.053940584543,0.008298201325,0.002090044302,0.009665813759,8.255375532792,6.338534754304,0.197960497921,0.348943937896,0.28341402534,0.034626494618,0.046571995201,0.055084617999,0.063014499398,0.071832834499,0.082412829203,0.095726732836,0.114480650786,0.147782097545,0.288467247915,1.111558878083,5353.5595703125,283487931,4367.86266621191,2444.81220280054,FALSE,micro,survey,4.469,0.237539995546,4.80194288126,
East Asia & Pacific,EAS,Indonesia,IDN,2025,national,SUSENAS,national,2025,consumption,6,2015 - 2025,3,0.040353108549,0.006152953922,0.001536664623,0.007150499449,8.612717020883,6.655952667762,0.193395424356,0.344346887635,0.277602493926,0.035132904345,0.047389995769,0.055851125523,0.063539000122,0.07228109814,0.083035365143,0.096351762954,0.114349092758,0.145255030123,0.286814625123,1.10678574485,5353.5595703125,285721236,4534.577270620081,,FALSE,micro,survey,4.628,0.22246415862,4.562737893796,
South Asia,SAS,India,IND,1977,national,NSS,national,1977.5,consumption,0,1977,3,0.597005238794,0.182798250759,0.075561262628,0.240883960715,3.183168989447,2.690413654478,0.145646811868,0.296878215347,0.226136395081,0.03914562798,0.051751774256,0.061908889136,0.071031354615,0.079944753302,0.089418661064,0.100482170744,0.115166651965,0.139570812023,0.251579304913,0.042347084731,19.468950271606,648264666,390.956486469543,295.0404333155,FALSE,group,survey,3,0.597005238794,11.409827761107,
South Asia,SAS,India,IND,1983,national,NSS,national,1983,consumption,1,1983,3,0.508671284904,0.141330905604,0.053961489377,0.181030671432,3.404901244027,2.971730053466,0.119112672499,0.272036775642,0.219661849772,0.041503826977,0.054051467306,0.064308253067,0.073564467227,0.0826291817,0.092247746606,0.10340835049,0.11810437814,0.142104758833,0.228077569655,0.069101512432,19.468950271606,737372681,427.471110823484,329.527930987485,FALSE,group,survey,3,0.508671284904,10.27997882709,
South Asia,SAS,India,IND,1987,national,NSS-SCH1,national,1987.5,consumption,2,1987,3,0.517802604697,0.139812399101,0.051529399257,0.176994686062,3.422794861958,2.94344271651,0.122543585899,0.275310050166,0.216304488328,0.042892404928,0.054495735246,0.064077370859,0.072854035076,0.081524754045,0.090797015631,0.101635237266,0.116030352607,0.139904908796,0.235788185547,0.097815848887,19.468950271606,818137130,467.338870096817,346.884669332206,FALSE,group,survey,3,0.517802604697,10.221732756054,
South Asia,SAS,India,IND,1993,national,NSS-SCH1,national,1993.5,consumption,3,1993 - 2009,3,0.474826347191,0.114755299721,0.039438483956,0.143510788394,3.559334247162,3.078057910078,0.112521084783,0.261098115024,0.205732423819,0.044226375064,0.05795674655,0.066406202782,0.074162249276,0.082222813977,0.091136456477,0.101713723202,0.116180041602,0.140179660073,0.225815730997,0.169302165508,19.468950271606,931641077,559.838421738423,386.615315871049,FALSE,micro,survey,3,0.474826347191,9.696512365878,
South Asia,SAS,India,IND,2004,national,NSS-SCH1,national,2004.5,consumption,3,1993 - 2009,3,0.464241686358,0.109539313053,0.036433320508,0.135474919687,3.704647276733,3.111207216518,0.126208229014,0.276820664418,0.213720791434,0.044003461265,0.056480313746,0.064391433562,0.071985956438,0.079860052586,0.088571703771,0.099384930754,0.11455631904,0.139643195512,0.241122633326,0.335988998413,19.468950271606,1145333917.5,879.767184579128,548.260363951614,FALSE,micro,survey,3,0.464241686358,9.47095836564,
South Asia,SAS,India,IND,2009,national,NSS-SCH1,national,2009.5,consumption,3,1993 - 2009,3,0.34575579572,0.072881350184,0.022395728297,0.088353421668,4.17308583485,3.512020075343,0.128888380438,0.278258851164,0.212747952317,0.043692192508,0.056042571697,0.064331883953,0.072172706141,0.079877903839,0.088630317644,0.099342018603,0.114732210721,0.139128215994,0.242049978901,0.496169179678,19.468950271606,1234503158.5,1137.9527376850726,674.10420155405,FALSE,micro,survey,3.056,0.36510356568,8.418810316579,
South Asia,SAS,India,IND,2011,national,NSS-SCH2,national,2011.5,consumption,7,2011,3,0.271246924459,0.052518316929,0.015225323906,0.062876680215,4.644221687492,3.856368319239,0.135872386511,0.287768853581,0.224213169115,0.042496770595,0.054803894258,0.062872696698,0.070747607426,0.078660398319,0.087841053441,0.099279906848,0.114884600465,0.140389710903,0.248023361047,0.590538024902,19.468950271606,1269949728,1269.997755496875,746.750659198107,FALSE,micro,survey,3.228,0.334397509549,7.670601308991,
South Asia,SAS,India,IND,2022,national,HCES,national,2022.58,consumption,9,2022,3,0.052516401479,0.007727341273,0.001899203682,0.008977003119,6.355092370727,5.536495439641,0.106181043484,0.255149963499,0.203096609924,0.045106198958,0.058481936017,0.06694519841,0.074811261913,0.082848022267,0.091787012078,0.102513062367,0.116774374274,0.139410499805,0.22132243391,1.101905941963,19.468950271606,1432758114.719999,2064.98579216489,1260.776933955855,FALSE,micro,survey,4.068,0.21288697138,5.363668653054,
Europe & Central Asia,ECS,Ireland,IRL,1987,national,SIDPUSS-LIS,national,1987,income,0,1987,3,0.013,0.005152590344,0.002894234038,0.008413969146,20.035230675416,16.429129126013,0.218761740038,0.354672343197,0.297291199285,0.027377514612,0.042163800715,0.052836220965,0.063657733345,0.075979548202,0.087371131518,0.101709951558,0.121532149204,0.154831260944,0.272540688937,0.402141120941,0.980556547642,3540057,19281.2232196111,9935.94762163334,FALSE,micro,survey,9.515,0.205,2.287761145272,
Europe & Central Asia,ECS,Ireland,IRL,1994,national,LIS-ECHP-LIS,national,1994,income,1,1994 - 2000,3,0.004,0.002200889097,0.001615155312,0.004420778865,29.206091731458,22.41757072759,0.231394974371,0.369156654571,0.309907000765,0.028552083373,0.040933033405,0.05192885559,0.062782814449,0.072012110703,0.082587281962,0.097517211235,0.119414116745,0.15349554544,0.290776947097,0.487794411028,0.980556547642,3590386,26263.7091752353,12438.6691509639,FALSE,micro,survey,12.509,0.165,1.589214063186,
Europe & Central Asia,ECS,Ireland,IRL,1995,national,LIS-ECHP-LIS,national,1995,income,1,1994 - 2000,3,0.004,0.002133711502,0.001409759623,0.004078256898,30.144058520788,22.735268761095,0.233696563227,0.370459442675,0.321212454012,0.027683311547,0.040626988154,0.052477961682,0.062733619258,0.070927951141,0.081930662614,0.097594604658,0.121016697875,0.15838583772,0.286622365351,0.500110512209,0.980556547642,3608841,28646.8176219898,12801.592487623,FALSE,micro,survey,12.668,0.168,1.546391661853,
Europe & Central Asia,ECS,Ireland,IRL,1996,national,LIS-ECHP-LIS,national,1996,income,1,1994 - 2000,3,0.002,0.001214301659,8.14629099e-4,0.002157203741,31.577675762549,24.81830250602,0.215208554065,0.356246963158,0.305166442703,0.02846198989,0.042418544018,0.054685012299,0.063834620779,0.072777488472,0.084986123252,0.100076961174,0.120272418683,0.156549481568,0.275937359865,0.508891196624,0.980556547642,3637510,30518.4039336362,13573.0439771714,FALSE,micro,survey,13.709,0.157,1.373555189117,
Europe & Central Asia,ECS,Ireland,IRL,2000,national,LIS-ECHP-LIS,national,2000,income,1,1994 - 2000,3,0.002,6.82128664e-4,3.7974332e-4,0.001019848892,39.480361431886,32.661985166001,0.186223287787,0.330107377408,0.270833831535,0.030861318311,0.046569200872,0.057951357429,0.066867393131,0.076951470855,0.088953064572,0.101228698494,0.120366045328,0.148656183162,0.261595267846,0.567800416436,0.980556547642,3805174,42599.4803921319,18090.6344865962,FALSE,micro,survey,17.631,0.133,1.031685626013,
Europe & Central Asia,ECS,Ireland,IRL,2002,national,SILC-LIS,national,2002,income,2,2002,3,0.003,9.83133522e-4,5.03807817e-4,0.001412838214,43.464836110045,36.325493553523,0.182951286366,0.32288878396,0.273297210303,0.028828900806,0.047271868777,0.059282215008,0.068314180014,0.07802962637,0.090226010238,0.103801621313,0.122616948278,0.151666304749,0.249962324448,0.790794590259,0.980556547642,3931947,45974.4881988842,19002.8966827776,FALSE,micro,survey,19.463,0.128,0.969774684799,
Europe & Central Asia,ECS,Ireland,IRL,2003,national,EU-SILC,national,2003,income,3,2003 - 2023,3,0.002256395135,9.68995742e-4,6.18738684e-4,0.001805190602,44.591748787755,37.048294236749,0.186585373268,0.328874215384,0.269227522433,0.030728132176,0.046124918066,0.057855619535,0.067390842039,0.07756432631,0.08907541598,0.102450721683,0.120947195987,0.148891554184,0.25897127404,0.81841083352,0.980556547642,3996521,46594.8620267616,19217.8071933642,FALSE,micro,survey,19.824,0.135518124343,0.952057892379,
Europe & Central Asia,ECS,Ireland,IRL,2004,national,EU-SILC,national,2004,income,3,2003 - 2023,3,8.49493236e-4,3.48002387e-4,2.4064341e-4,6.87291926e-4,46.314185398157,38.03496516266,0.194029955465,0.336095387257,0.274647423186,0.030080410003,0.045582256802,0.057154610286,0.066658263588,0.076102703778,0.088017475088,0.102937493052,0.120152861022,0.146981147722,0.26633277866,0.83624027614,0.980556547642,4070262,48856.3238587396,19589.9704249602,FALSE,micro,survey,20.317,0.138723503888,0.89537418472,
Europe & Central Asia,ECS,Ireland,IRL,2005,national,EU-SILC,national,2005,income,3,2003 - 2023,3,6.26922581e-4,2.06425253e-4,1.35643931e-4,4.12509845e-4,48.623928880493,38.962624443207,0.194023153746,0.337539504806,0.275748084745,0.03149075517,0.045605887537,0.05711656302,0.066830034763,0.075251426599,0.086360346964,0.10050917814,0.118681701854,0.149360171637,0.268793934318,0.856782955843,0.980556547642,4159914,50547.2123729763,20514.0300274301,FALSE,micro,survey,20.781,0.128304760346,0.840976335589,
Europe & Central Asia,ECS,Ireland,IRL,2006,national,EU-SILC,national,2006,income,3,2003 - 2023,3,0.004720414067,0.001895014869,9.69107489e-4,0.003080122126,51.84866117153,42.702843364552,0.186205982618,0.327275664572,0.278528483826,0.031085825019,0.047630146624,0.057741847436,0.066456365394,0.076237223763,0.088091284341,0.10302633247,0.12229632951,0.151443850606,0.255990794837,0.890503894808,0.980556547642,4273591,51656.8194855887,21243.7864917865,FALSE,micro,survey,22.651,0.113101959667,0.864449918494,
Europe & Central Asia,ECS,Ireland,IRL,2007,national,EU-SILC,national,2007,income,3,2003 - 2023,3,0.001293330946,6.48278096e-4,4.62203484e-4,0.001326529658,51.484907151339,42.124959654197,0.174152682195,0.319465754048,0.261889419367,0.033149118185,0.048616762775,0.058983654351,0.068666257038,0.077384663346,0.087295318989,0.101377413515,0.121200770916,0.148414457088,0.254911583797,0.934011634416,0.980556547642,4398942,52849.6948429458,22015.9507617354,FALSE,micro,survey,22.362,0.101090943177,0.805589873266,
